Time,BGSM_0,BGSM_1,BGSM_2
2016-01-01 01:43:30,4.5545344,0.6894148,-13.159092
2016-01-01 01:44:30,4.52177,0.6050478,-13.148157
2016-01-01 01:45:30,4.5256367,0.75211954,-13.078458
2016-01-01 01:46:30,4.357784,0.9745394,-12.96311
2016-01-01 01:47:30,4.304867,1.1345665,-12.938249
2016-01-01 01:48:30,4.074176,1.3066605,-12.940771
2016-01-01 01:49:30,4.3678627,1.0207562,-12.928657
2016-01-01 01:50:30,3.790973,1.6783043,-13.049564
2016-01-01 01:51:30,3.991807,2.1756892,-12.880542
2016-01-01 01:52:30,3.874696,2.629684,-12.822405
2016-01-01 01:53:30,3.8411078,2.5618405,-12.844474
2016-01-01 01:54:30,3.72854,2.5761273,-12.90737
2016-01-01 01:55:30,3.4201188,2.9352655,-12.884137
2016-01-01 01:56:30,3.476427,2.6558838,-12.889419
2016-01-01 01:57:30,3.91717,2.0428345,-12.877002
2016-01-01 01:58:30,4.0415845,1.9158643,-12.846612
2016-01-01 01:59:30,4.449887,0.987276,-12.824193
